,value,trial,game,participant,condition,experiment,dyad,mapping
624,6.0,24,1,c09_p1,control,4.0,c09,d
625,6.0,25,1,c09_p1,control,4.0,c09,d
626,7.0,26,1,c09_p1,control,4.0,c09,d
627,7.0,27,1,c09_p1,control,4.0,c09,d
628,7.0,28,1,c09_p1,control,4.0,c09,d
629,7.0,29,1,c09_p1,control,4.0,c09,d
630,7.0,30,1,c09_p1,control,4.0,c09,d
631,8.0,31,1,c09_p1,control,4.0,c09,d
632,8.0,32,1,c09_p1,control,4.0,c09,d
633,8.0,33,1,c09_p1,control,4.0,c09,d
634,8.0,34,1,c09_p1,control,4.0,c09,d
635,9.0,35,1,c09_p1,control,4.0,c09,d
636,9.0,36,1,c09_p1,control,4.0,c09,d
637,9.0,37,1,c09_p1,control,4.0,c09,d
638,9.0,38,1,c09_p1,control,4.0,c09,d
639,10.0,39,1,c09_p1,control,4.0,c09,d
640,10.0,40,1,c09_p1,control,4.0,c09,d
641,10.0,41,1,c09_p1,control,4.0,c09,d
642,10.0,42,1,c09_p1,control,4.0,c09,d
643,11.0,43,1,c09_p1,control,4.0,c09,d
644,11.0,44,1,c09_p1,control,4.0,c09,d
645,11.0,45,1,c09_p1,control,4.0,c09,d
646,11.0,46,1,c09_p1,control,4.0,c09,d
647,12.0,47,1,c09_p1,control,4.0,c09,d
648,12.0,48,1,c09_p1,control,4.0,c09,d
649,12.0,49,1,c09_p1,control,4.0,c09,d
650,12.0,50,1,c09_p1,control,4.0,c09,d
651,13.0,51,1,c09_p1,control,4.0,c09,d
652,13.0,52,1,c09_p1,control,4.0,c09,d
653,13.0,53,1,c09_p1,control,4.0,c09,d
654,13.0,54,1,c09_p1,control,4.0,c09,d
655,14.0,55,1,c09_p1,control,4.0,c09,d
656,14.0,56,1,c09_p1,control,4.0,c09,d
657,14.0,57,1,c09_p1,control,4.0,c09,d
658,14.0,58,1,c09_p1,control,4.0,c09,d
659,14.0,59,1,c09_p1,control,4.0,c09,d
660,15.0,60,1,c09_p1,control,4.0,c09,d
661,16.0,61,1,c09_p1,control,4.0,c09,d
662,16.0,62,1,c09_p1,control,4.0,c09,d
663,16.0,63,1,c09_p1,control,4.0,c09,d
664,16.0,64,1,c09_p1,control,4.0,c09,d
665,16.0,65,1,c09_p1,control,4.0,c09,d
666,17.0,66,1,c09_p1,control,4.0,c09,d
667,18.0,67,1,c09_p1,control,4.0,c09,d
668,18.0,68,1,c09_p1,control,4.0,c09,d
669,18.0,69,1,c09_p1,control,4.0,c09,d
670,18.0,70,1,c09_p1,control,4.0,c09,d
671,18.0,71,1,c09_p1,control,4.0,c09,d
672,18.0,72,1,c09_p1,control,4.0,c09,d
673,18.0,73,1,c09_p1,control,4.0,c09,d
