,block,value,game,participant,condition,experiment,dyad,mapping,group
384,2,25.0,2,j11_p1,social,3.0,j11,s,game 2 social
385,2,30.0,2,j11_p2,social,3.0,j11,s,game 2 social
386,2,30.0,2,m01_p1,social,4.0,m01,d,game 2 social
387,2,10.0,2,m01_p2,social,4.0,m01,d,game 2 social
388,2,6.0,2,m03_p1,social,4.0,m03,d,game 2 social
389,2,7.0,2,m03_p2,social,4.0,m03,d,game 2 social
390,2,16.0,2,m05_p1,social,4.0,m05,d,game 2 social
391,2,30.0,2,m05_p2,social,4.0,m05,d,game 2 social
392,2,27.0,2,m08_p1,social,4.0,m08,s,game 2 social
393,2,27.0,2,m08_p2,social,4.0,m08,s,game 2 social
394,2,15.0,2,m10_p1,social,4.0,m10,s,game 2 social
395,2,10.0,2,m10_p2,social,4.0,m10,s,game 2 social
396,2,30.0,2,m11_p1,social,4.0,m11,s,game 2 social
397,2,30.0,2,m11_p2,social,4.0,m11,s,game 2 social
398,2,12.0,2,m13_p1,social,4.0,m13,s,game 2 social
399,2,16.0,2,m13_p2,social,4.0,m13,s,game 2 social
400,2,3.0,2,m14_p1,social,4.0,m14,s,game 2 social
401,2,9.0,2,m14_p2,social,4.0,m14,s,game 2 social
402,3,18.0,1,c01_p1,control,4.0,c01,s,game 1 control
403,3,10.0,1,c02_p1,control,4.0,c02,d,game 1 control
404,3,30.0,1,c03_p1,control,4.0,c03,d,game 1 control
405,3,10.0,1,c05_p1,control,4.0,c05,d,game 1 control
406,3,8.0,1,c06_p1,control,4.0,c06,d,game 1 control
407,3,28.0,1,c07_p1,control,4.0,c07,d,game 1 control
408,3,7.0,1,c09_p1,control,4.0,c09,d,game 1 control
409,3,30.0,1,c10_p1,control,4.0,c10,d,game 1 control
410,3,16.0,1,c11_p1,control,4.0,c11,d,game 1 control
411,3,8.0,1,c12_p1,control,4.0,c12,s,game 1 control
412,3,19.0,1,c13_p1,control,4.0,c13,s,game 1 control
413,3,21.0,1,c14_p1,control,4.0,c14,s,game 1 control
414,3,11.0,1,c15_p1,control,4.0,c15,s,game 1 control
