,value,trial,game,participant,condition,experiment,dyad,mapping
6974,8.0,74,1,m08_p2,social,4.0,m08,s
6975,8.0,75,1,m08_p2,social,4.0,m08,s
6976,8.0,76,1,m08_p2,social,4.0,m08,s
6977,8.0,77,1,m08_p2,social,4.0,m08,s
6978,8.0,78,1,m08_p2,social,4.0,m08,s
6979,8.0,79,1,m08_p2,social,4.0,m08,s
6980,8.0,80,1,m08_p2,social,4.0,m08,s
6981,8.0,81,1,m08_p2,social,4.0,m08,s
6982,8.0,82,1,m08_p2,social,4.0,m08,s
6983,8.0,83,1,m08_p2,social,4.0,m08,s
6984,8.0,84,1,m08_p2,social,4.0,m08,s
6985,8.0,85,1,m08_p2,social,4.0,m08,s
6986,8.0,86,1,m08_p2,social,4.0,m08,s
6987,8.0,87,1,m08_p2,social,4.0,m08,s
6988,8.0,88,1,m08_p2,social,4.0,m08,s
6989,9.0,89,1,m08_p2,social,4.0,m08,s
6990,9.0,90,1,m08_p2,social,4.0,m08,s
6991,9.0,91,1,m08_p2,social,4.0,m08,s
6992,9.0,92,1,m08_p2,social,4.0,m08,s
6993,9.0,93,1,m08_p2,social,4.0,m08,s
6994,9.0,94,1,m08_p2,social,4.0,m08,s
6995,9.0,95,1,m08_p2,social,4.0,m08,s
6996,9.0,96,1,m08_p2,social,4.0,m08,s
6997,9.0,97,1,m08_p2,social,4.0,m08,s
6998,9.0,98,1,m08_p2,social,4.0,m08,s
6999,9.0,99,1,m08_p2,social,4.0,m08,s
7000,0.0,0,1,m10_p1,social,4.0,m10,s
7001,0.0,1,1,m10_p1,social,4.0,m10,s
7002,0.0,2,1,m10_p1,social,4.0,m10,s
7003,0.0,3,1,m10_p1,social,4.0,m10,s
7004,1.0,4,1,m10_p1,social,4.0,m10,s
7005,1.0,5,1,m10_p1,social,4.0,m10,s
7006,1.0,6,1,m10_p1,social,4.0,m10,s
7007,2.0,7,1,m10_p1,social,4.0,m10,s
7008,2.0,8,1,m10_p1,social,4.0,m10,s
7009,2.0,9,1,m10_p1,social,4.0,m10,s
7010,3.0,10,1,m10_p1,social,4.0,m10,s
7011,3.0,11,1,m10_p1,social,4.0,m10,s
7012,4.0,12,1,m10_p1,social,4.0,m10,s
7013,4.0,13,1,m10_p1,social,4.0,m10,s
7014,4.0,14,1,m10_p1,social,4.0,m10,s
7015,5.0,15,1,m10_p1,social,4.0,m10,s
7016,5.0,16,1,m10_p1,social,4.0,m10,s
7017,6.0,17,1,m10_p1,social,4.0,m10,s
7018,6.0,18,1,m10_p1,social,4.0,m10,s
7019,7.0,19,1,m10_p1,social,4.0,m10,s
7020,7.0,20,1,m10_p1,social,4.0,m10,s
7021,8.0,21,1,m10_p1,social,4.0,m10,s
7022,8.0,22,1,m10_p1,social,4.0,m10,s
7023,9.0,23,1,m10_p1,social,4.0,m10,s
7024,9.0,24,1,m10_p1,social,4.0,m10,s
7025,9.0,25,1,m10_p1,social,4.0,m10,s
7026,10.0,26,1,m10_p1,social,4.0,m10,s
7027,10.0,27,1,m10_p1,social,4.0,m10,s
7028,11.0,28,1,m10_p1,social,4.0,m10,s
7029,11.0,29,1,m10_p1,social,4.0,m10,s
