,variable,value,trial
517,m05_p2_g1,4,17
518,m05_p2_g1,4,18
519,m05_p2_g1,4,19
520,m05_p2_g1,4,20
521,m05_p2_g1,4,21
522,m05_p2_g1,4,22
523,m05_p2_g1,4,23
524,m05_p2_g1,4,24
525,m05_p2_g1,4,25
526,m05_p2_g1,4,26
527,m05_p2_g1,4,27
528,m05_p2_g1,4,28
529,m05_p2_g1,4,29
530,m05_p2_g1,4,30
531,m05_p2_g1,4,31
532,m05_p2_g1,4,32
533,m05_p2_g1,4,33
534,m05_p2_g1,4,34
535,m05_p2_g1,4,35
536,m05_p2_g1,4,36
537,m05_p2_g1,4,37
538,m05_p2_g1,4,38
539,m05_p2_g1,4,39
540,m05_p2_g1,4,40
541,m05_p2_g1,4,41
542,m05_p2_g1,4,42
543,m05_p2_g1,4,43
544,m05_p2_g1,5,44
545,m05_p2_g1,5,45
546,m05_p2_g1,6,46
547,m05_p2_g1,6,47
548,m05_p2_g1,6,48
549,m05_p2_g1,6,49
550,m05_p2_g1,6,50
551,m05_p2_g1,6,51
552,m05_p2_g1,6,52
553,m05_p2_g1,6,53
554,m05_p2_g1,6,54
555,m05_p2_g1,6,55
556,m05_p2_g1,6,56
557,m05_p2_g1,6,57
558,m05_p2_g1,6,58
559,m05_p2_g1,6,59
560,m05_p2_g1,6,60
561,m05_p2_g1,6,61
562,m05_p2_g1,6,62
563,m05_p2_g1,6,63
564,m05_p2_g1,7,64
565,m05_p2_g1,7,65
566,m05_p2_g1,7,66
567,m05_p2_g1,7,67
568,m05_p2_g1,7,68
569,m05_p2_g1,7,69
570,m05_p2_g1,7,70
571,m05_p2_g1,7,71
572,m05_p2_g1,7,72
573,m05_p2_g1,8,73
574,m05_p2_g1,9,74
575,m05_p2_g1,9,75
576,m05_p2_g1,9,76
577,m05_p2_g1,10,77
578,m05_p2_g1,10,78
579,m05_p2_g1,10,79
580,m05_p2_g1,10,80
581,m05_p2_g1,10,81
582,m05_p2_g1,10,82
583,m05_p2_g1,10,83
584,m05_p2_g1,10,84
585,m05_p2_g1,10,85
586,m05_p2_g1,11,86
587,m05_p2_g1,11,87
588,m05_p2_g1,11,88
589,m05_p2_g1,11,89
590,m05_p2_g1,11,90
591,m05_p2_g1,11,91
592,m05_p2_g1,11,92
593,m05_p2_g1,11,93
594,m05_p2_g1,11,94
595,m05_p2_g1,11,95
596,m05_p2_g1,11,96
597,m05_p2_g1,12,97
598,m05_p2_g1,12,98
599,m05_p2_g1,12,99
600,m08_p1_g1,0,0
601,m08_p1_g1,0,1
602,m08_p1_g1,0,2
603,m08_p1_g1,0,3
604,m08_p1_g1,1,4
605,m08_p1_g1,1,5
606,m08_p1_g1,2,6
607,m08_p1_g1,2,7
608,m08_p1_g1,3,8
609,m08_p1_g1,3,9
610,m08_p1_g1,3,10
611,m08_p1_g1,3,11
612,m08_p1_g1,3,12
613,m08_p1_g1,3,13
614,m08_p1_g1,3,14
615,m08_p1_g1,3,15
616,m08_p1_g1,4,16
617,m08_p1_g1,5,17
618,m08_p1_g1,5,18
619,m08_p1_g1,6,19
620,m08_p1_g1,6,20
621,m08_p1_g1,6,21
622,m08_p1_g1,6,22
623,m08_p1_g1,6,23
624,m08_p1_g1,6,24
625,m08_p1_g1,7,25
626,m08_p1_g1,7,26
627,m08_p1_g1,7,27
628,m08_p1_g1,7,28
629,m08_p1_g1,7,29
630,m08_p1_g1,7,30
631,m08_p1_g1,7,31
632,m08_p1_g1,7,32
633,m08_p1_g1,8,33
634,m08_p1_g1,8,34
635,m08_p1_g1,8,35
636,m08_p1_g1,8,36
637,m08_p1_g1,8,37
638,m08_p1_g1,8,38
639,m08_p1_g1,9,39
640,m08_p1_g1,9,40
641,m08_p1_g1,9,41
642,m08_p1_g1,9,42
643,m08_p1_g1,9,43
644,m08_p1_g1,9,44
645,m08_p1_g1,9,45
646,m08_p1_g1,9,46
647,m08_p1_g1,9,47
648,m08_p1_g1,9,48
649,m08_p1_g1,10,49
650,m08_p1_g1,10,50
651,m08_p1_g1,10,51
652,m08_p1_g1,10,52
653,m08_p1_g1,10,53
654,m08_p1_g1,10,54
655,m08_p1_g1,10,55
