,30.0,block,game,participant,condition,experiment,dyad,mapping
442,7.0,2,2,m13_p1,social,4.0,m13,s
443,5.0,3,2,m13_p1,social,4.0,m13,s
445,14.0,1,2,m13_p2,social,4.0,m13,s
446,5.0,2,2,m13_p2,social,4.0,m13,s
447,2.0,3,2,m13_p2,social,4.0,m13,s
449,14.0,1,2,m14_p1,social,4.0,m14,s
450,15.0,2,2,m14_p1,social,4.0,m14,s
451,10.0,3,2,m14_p1,social,4.0,m14,s
453,10.0,1,2,m14_p2,social,4.0,m14,s
454,11.0,2,2,m14_p2,social,4.0,m14,s
455,9.0,3,2,m14_p2,social,4.0,m14,s
457,4.0,1,2,j01_p1,social,3.0,j01,d
458,5.0,2,2,j01_p1,social,3.0,j01,d
459,5.0,3,2,j01_p1,social,3.0,j01,d
461,6.0,1,2,j01_p2,social,3.0,j01,d
462,8.0,2,2,j01_p2,social,3.0,j01,d
463,8.0,3,2,j01_p2,social,3.0,j01,d
465,10.0,1,2,j02_p1,social,3.0,j02,d
466,9.0,2,2,j02_p1,social,3.0,j02,d
467,5.0,3,2,j02_p1,social,3.0,j02,d
469,7.0,1,2,j02_p2,social,3.0,j02,d
470,1.0,2,2,j02_p2,social,3.0,j02,d
471,0.0,3,2,j02_p2,social,3.0,j02,d
473,4.0,1,2,j03_p1,social,3.0,j03,d
474,0.0,2,2,j03_p1,social,3.0,j03,d
475,0.0,3,2,j03_p1,social,3.0,j03,d
477,3.0,1,2,j03_p2,social,3.0,j03,d
478,0.0,2,2,j03_p2,social,3.0,j03,d
479,1.0,3,2,j03_p2,social,3.0,j03,d
481,11.0,1,2,j04_p1,social,3.0,j04,d
482,15.0,2,2,j04_p1,social,3.0,j04,d
483,11.0,3,2,j04_p1,social,3.0,j04,d
485,12.0,1,2,j04_p2,social,3.0,j04,d
486,13.0,2,2,j04_p2,social,3.0,j04,d
487,9.0,3,2,j04_p2,social,3.0,j04,d
489,8.0,1,2,j05_p1,social,3.0,j05,d
490,3.0,2,2,j05_p1,social,3.0,j05,d
491,4.0,3,2,j05_p1,social,3.0,j05,d
493,3.0,1,2,j05_p2,social,3.0,j05,d
494,1.0,2,2,j05_p2,social,3.0,j05,d
495,1.0,3,2,j05_p2,social,3.0,j05,d
497,3.0,1,2,j06_p1,social,3.0,j06,d
498,5.0,2,2,j06_p1,social,3.0,j06,d
499,2.0,3,2,j06_p1,social,3.0,j06,d
501,3.0,1,2,j06_p2,social,3.0,j06,d
502,1.0,2,2,j06_p2,social,3.0,j06,d
503,2.0,3,2,j06_p2,social,3.0,j06,d
505,2.0,1,2,j07_p1,social,3.0,j07,d
506,0.0,2,2,j07_p1,social,3.0,j07,d
507,0.0,3,2,j07_p1,social,3.0,j07,d
509,2.0,1,2,j07_p2,social,3.0,j07,d
510,4.0,2,2,j07_p2,social,3.0,j07,d
511,2.0,3,2,j07_p2,social,3.0,j07,d
513,4.0,1,2,j08_p1,social,3.0,j08,d
514,0.0,2,2,j08_p1,social,3.0,j08,d
515,0.0,3,2,j08_p1,social,3.0,j08,d
517,11.0,1,2,j08_p2,social,3.0,j08,d
518,1.0,2,2,j08_p2,social,3.0,j08,d
519,0.0,3,2,j08_p2,social,3.0,j08,d
521,6.0,1,2,j10_p1,social,3.0,j10,s
522,3.0,2,2,j10_p1,social,3.0,j10,s
523,10.0,3,2,j10_p1,social,3.0,j10,s
525,11.0,1,2,j10_p2,social,3.0,j10,s
526,0.0,2,2,j10_p2,social,3.0,j10,s
527,0.0,3,2,j10_p2,social,3.0,j10,s
529,0.0,1,2,j11_p1,social,3.0,j11,s
530,0.0,2,2,j11_p1,social,3.0,j11,s
531,0.0,3,2,j11_p1,social,3.0,j11,s
533,0.0,1,2,j11_p2,social,3.0,j11,s
534,0.0,2,2,j11_p2,social,3.0,j11,s
535,0.0,3,2,j11_p2,social,3.0,j11,s
