,value,trial,game,participant,condition,experiment,dyad,mapping
223,3.0,23,1,c03_p1,control,4.0,c03,d
224,3.0,24,1,c03_p1,control,4.0,c03,d
225,3.0,25,1,c03_p1,control,4.0,c03,d
226,3.0,26,1,c03_p1,control,4.0,c03,d
227,3.0,27,1,c03_p1,control,4.0,c03,d
228,3.0,28,1,c03_p1,control,4.0,c03,d
229,3.0,29,1,c03_p1,control,4.0,c03,d
230,3.0,30,1,c03_p1,control,4.0,c03,d
231,3.0,31,1,c03_p1,control,4.0,c03,d
232,3.0,32,1,c03_p1,control,4.0,c03,d
233,3.0,33,1,c03_p1,control,4.0,c03,d
234,3.0,34,1,c03_p1,control,4.0,c03,d
235,3.0,35,1,c03_p1,control,4.0,c03,d
236,4.0,36,1,c03_p1,control,4.0,c03,d
237,4.0,37,1,c03_p1,control,4.0,c03,d
238,4.0,38,1,c03_p1,control,4.0,c03,d
239,4.0,39,1,c03_p1,control,4.0,c03,d
240,4.0,40,1,c03_p1,control,4.0,c03,d
241,4.0,41,1,c03_p1,control,4.0,c03,d
242,4.0,42,1,c03_p1,control,4.0,c03,d
243,4.0,43,1,c03_p1,control,4.0,c03,d
244,4.0,44,1,c03_p1,control,4.0,c03,d
245,4.0,45,1,c03_p1,control,4.0,c03,d
246,4.0,46,1,c03_p1,control,4.0,c03,d
247,4.0,47,1,c03_p1,control,4.0,c03,d
248,4.0,48,1,c03_p1,control,4.0,c03,d
249,4.0,49,1,c03_p1,control,4.0,c03,d
250,4.0,50,1,c03_p1,control,4.0,c03,d
251,4.0,51,1,c03_p1,control,4.0,c03,d
252,4.0,52,1,c03_p1,control,4.0,c03,d
253,4.0,53,1,c03_p1,control,4.0,c03,d
254,4.0,54,1,c03_p1,control,4.0,c03,d
255,4.0,55,1,c03_p1,control,4.0,c03,d
256,4.0,56,1,c03_p1,control,4.0,c03,d
257,4.0,57,1,c03_p1,control,4.0,c03,d
258,4.0,58,1,c03_p1,control,4.0,c03,d
259,4.0,59,1,c03_p1,control,4.0,c03,d
260,4.0,60,1,c03_p1,control,4.0,c03,d
261,4.0,61,1,c03_p1,control,4.0,c03,d
262,4.0,62,1,c03_p1,control,4.0,c03,d
263,4.0,63,1,c03_p1,control,4.0,c03,d
264,4.0,64,1,c03_p1,control,4.0,c03,d
265,4.0,65,1,c03_p1,control,4.0,c03,d
266,4.0,66,1,c03_p1,control,4.0,c03,d
267,4.0,67,1,c03_p1,control,4.0,c03,d
268,4.0,68,1,c03_p1,control,4.0,c03,d
269,4.0,69,1,c03_p1,control,4.0,c03,d
270,4.0,70,1,c03_p1,control,4.0,c03,d
271,4.0,71,1,c03_p1,control,4.0,c03,d
272,4.0,72,1,c03_p1,control,4.0,c03,d
273,4.0,73,1,c03_p1,control,4.0,c03,d
274,4.0,74,1,c03_p1,control,4.0,c03,d
275,4.0,75,1,c03_p1,control,4.0,c03,d
276,4.0,76,1,c03_p1,control,4.0,c03,d
277,4.0,77,1,c03_p1,control,4.0,c03,d
278,4.0,78,1,c03_p1,control,4.0,c03,d
279,4.0,79,1,c03_p1,control,4.0,c03,d
280,4.0,80,1,c03_p1,control,4.0,c03,d
281,4.0,81,1,c03_p1,control,4.0,c03,d
282,4.0,82,1,c03_p1,control,4.0,c03,d
283,4.0,83,1,c03_p1,control,4.0,c03,d
284,4.0,84,1,c03_p1,control,4.0,c03,d
285,4.0,85,1,c03_p1,control,4.0,c03,d
286,4.0,86,1,c03_p1,control,4.0,c03,d
287,4.0,87,1,c03_p1,control,4.0,c03,d
288,4.0,88,1,c03_p1,control,4.0,c03,d
289,4.0,89,1,c03_p1,control,4.0,c03,d
290,4.0,90,1,c03_p1,control,4.0,c03,d
291,4.0,91,1,c03_p1,control,4.0,c03,d
292,4.0,92,1,c03_p1,control,4.0,c03,d
