SessionNum,m07,,,,,,,
SessionDate,02/24/2020,,,,,,,
Player1ID,m07a,,,,,,,
Player2ID,m07b,,,,,,,
TesterName,Jia-hui,,,,,,,
CoderName,Aihang,,,,,,,
VideoFileName,m07b/000,,,,,,,
LSLFileName,N/A,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time ,Comment1,Comment2
2,90,2,1,,1,18:40.414,18:41.591,
2,91,1,1,,1,18:43.775,,
2,92,2,1,,1,18:46.613,,
2,93,1,1,,1,18:49.984,,
2,94,2,1,,1,18:52.842,,
2,95,1,1,,1,19:01.222,,2Tou
2,96,2,1,,1,19:03.908,,
2,97,1,1,,1,19:07.051,,
2,98,2,1,,1,19:10.352,,
2,99,1,1,,1,19:13.763,,
2,100,2,1,,1,19:16.491,19:17.708,
2,101,1,1,,1,19:19.721,,
2,102,2,1,,1,19:22.871,,
2,103,1,1,,1,19:25.819,,
2,104,2,1,,1,19:29.462,,
2,105,1,1,,1,19:33.518,,
2,106,2,1,,1,19:36.436,,
2,107,1,1,,1,19:39.425,,
2,108,2,1,,1,19:42.957,,
2,109,1,1,,1,19:46.439,,
2,110,2,1,,1,19:49.951,19:51.168,
2,111,1,1,,1,19:53.493,,
2,112,2,1,,1,19:56.059,,
2,113,1,1,,1,19:58.927,,
2,114,2,1,,1,20:01.674,,
2,115,1,1,,1,20:05.247,,
2,116,2,1,,1,20:08.497,,
2,117,1,1,,1,20:12.009,,
2,118,2,1,,1,20:14.867,,
2,119,1,1,,1,20:18.108,,
2,120,2,1,,1,20:20.694,20:21.922,
2,121,1,1,,1,20:29.059,,
2,122,2,1,,1,20:31.512,,
2,123,1,1,,1,20:34.521,,
2,124,2,1,,1,20:37.409,,
2,125,1,1,,1,20:40.730,,
2,126,2,1,,1,20:44.171,,
2,127,1,1,,1,20:47.724,,
2,128,2,1,,1,20:51.467,,
2,129,1,1,,1,20:54.959,,
2,130,2,1,,1,20:57.495,20:58.723,
2,131,1,1,,1,21:00.594,,
2,132,2,1,,1,21:06.029,,2Tou
2,133,1,1,,0,21:08.977,,
2,134,2,1,,0,21:11.724,,
2,135,1,1,,1,21:14.924,,
2,136,2,1,,1,21:17.450,,
2,137,1,1,,1,21:20.550,,
2,138,2,1,,1,21:23.166,,
2,139,1,1,,1,21:26.195,,
2,140,2,1,,1,21:28.721,21:29.949,
2,141,1,1,,1,21:31.821,,
2,142,2,1,,1,21:34.346,,
2,143,1,1,,1,21:37.546,,
2,144,2,1,,1,21:40.143,,
2,145,1,1,,1,21:42.910,,
2,146,2,1,,1,21:45.657,,
2,147,1,1,,1,21:48.405,,
2,148,2,1,,1,21:50.890,,
2,149,1,1,,1,21:53.758,,
2,150,2,1,,1,21:56.616,21:57.864,
2,151,1,1,,1,21:59.333,,
2,152,2,1,,1,22:01.809,,
2,153,1,1,,1,22:04.647,,
2,154,2,1,,1,22:07.132,,
2,155,1,1,,1,22:09.880,,
2,156,2,1,,1,22:12.365,,
2,157,1,1,,0,22:15.072,,
2,158,2,1,,1,22:17.598,,
2,159,1,1,,1,22:20.355,,
2,160,2,1,,1,22:22.871,22:24.089,
2,161,1,1,,1,22:25.558,,
2,162,2,1,,1,22:28.557,,
2,163,1,1,,1,22:31.244,,
2,164,2,1,,0,22:33.820,,
2,165,1,1,,1,22:36.799,,
2,166,2,1,,1,22:39.465,,
2,167,1,1,,1,22:42.092,,
2,168,2,1,,0,22:44.648,,
2,169,1,1,,1,22:47.667,,
2,170,2,1,,0,22:50.273,22:51.481,
2,171,1,1,,1,22:53.524,,
2,172,2,1,,1,22:55.989,,
2,173,1,1,,1,22:58.857,,
2,174,2,1,,1,23:01.433,,
2,175,1,1,,1,23:04.543,,
2,176,2,1,,0,23:07.079,,
2,177,1,1,,1,23:10.551,,
2,178,2,1,,1,23:13.157,,
2,179,1,1,,1,23:16.327,,
2,180,2,1,,0,23:18.963,23:20.161,
2,181,1,1,,1,23:22.858,,
2,182,2,1,,1,23:25.444,,
2,183,1,1,,1,23:28.292,,
2,184,2,1,,1,23:30.858,,
2,185,1,1,,1,23:33.666,,
2,186,2,1,,0,23:36.302,,
2,187,1,1,,0,23:39.623,,
2,188,2,1,,1,23:42.169,,
2,189,1,1,,0,23:45.259,,
2,190,2,1,,1,23:47.815,23:49.052,
2,191,1,2,,1,23:50.461,,
2,192,2,1,,1,23:53.047,,
2,193,1,1,,0,23:55.956,,
2,194,2,1,,1,23:58.542,,
2,195,1,2,,0,24:01.199,,
2,196,2,1,,1,24:03.714,,
2,197,1,1,,1,24:06.291,,
2,198,2,1,,1,24:08.766,,
2,199,1,1,,0,24:11.966,,
2,200,2,1,,1,24:14.482,24:15.720,
