SessionNum,c04,,,,,,,
SessionDate,11/06/2019,,,,,,,
Player1ID,c04,,,,,,,
Player2ID,N/A,,,,,,,
TesterName,Jia-hui and Simone,,,,,,,
CoderName,Mya Haas,,,,,,,
VideoFileName,c04/001,,,,,,,
LSLFileName,c04.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
2,119,1,1,,1,27:56.793,27:58.033,
2,120,2,,,,,,
2,121,1,1,,1,28:03.529,,
2,122,2,,,,,,
2,123,1,2,,1,28:09.936,,
2,124,2,,,,,,
2,125,1,1,,1,28:17.067,,
2,126,2,,,,,,
2,127,1,1,,1,28:22.932,,
2,128,2,,,,,,
2,129,1,2,,1,28:31.544,28:32.750,
2,130,2,,,,,,
2,131,1,1,,1,28:43.842,,
2,132,2,,,,,,
2,133,1,2,,0,29:00.664,,
2,134,2,,,,,,
2,135,1,1,,1,29:08.908,,
2,136,2,,,,,,
2,137,1,1,,1,29:16.716,,2 Tou (1st Tou)
2,138,2,,,,,,
2,139,1,1,,1,29:23.954,,
2,140,2,,,,,,
2,141,1,2,,0,29:31.092,,
2,142,2,,,,,,
2,143,1,1,,0,29:38.062,,
2,144,2,,,,,,
2,145,1,1,,1,29:45.233,,
2,146,2,,,,,,
2,147,1,2,,1,29:52.572,,
2,148,2,,,,,,
2,149,1,1,,1,30:00.011,30:01.218,
2,150,2,,,,,,
2,151,1,2,,0,30:07.350,,
2,152,2,,,,,,
2,153,1,1,,0,30:18.408,,
2,154,2,,,,,,
2,155,1,1,,1,30:25.714,,
2,156,2,,,,,,
2,157,1,1,,1,30:33.723,,
2,158,2,,,,,,
2,159,1,2,,1,30:40.693,30:41.933,
2,160,2,,,,,,
2,161,1,1,,1,30:48.300,,
2,162,2,,,,,,
2,163,1,1,,1,30:56.443,,
2,164,2,,,,,,
2,165,1,2,,1,31:03.647,,
2,166,2,,,,,,
2,167,1,1,,1,31:10.986,,
2,168,2,,,,,,
2,169,1,2,,1,31:21.810,31:23.016,2 Tou
2,170,2,,,,,,
2,171,1,1,,0,31:28.780,,
2,172,2,,,,,,
2,173,1,1,,1,31:35.013,,
2,174,2,,,,,,
2,175,1,1,,1,31:42.184,,
2,176,2,,,,,,
2,177,1,2,,1,31:48.685,,
2,178,2,,,,,,
2,179,1,1,,0,31:55.119,31:56.359,
2,180,2,,,,,,
2,181,1,2,,0,32:02.157,,
2,182,2,,,,,,
2,183,1,1,,1,32:08.959,,
2,184,2,,,,,,
2,185,1,1,,0,32:16.465,,
2,186,2,,,,,,
2,187,1,2,,0,32:23.335,,
2,188,2,,,,,,
2,189,1,1,,1,32:29.702,32:30.908,
2,190,2,,,,,,
2,191,1,1,,1,32:36.538,,
2,192,2,,,,,,
2,193,1,2,,0,32:43.776,,
2,194,2,,,,,,
2,195,1,1,,1,32:50.244,,
2,196,2,,,,,,
2,197,1,1,,,32:57.315,,
2,198,2,,,,,,
2,199,1,,,,,,
2,200,2,,,,,,
